,geoid
0,34003003500
1,34003011200
2,34003015300
3,34003015400
4,34003018100
5,34003018200
6,34003019102
7,34003019203
8,34003019204
9,34003021100
10,34003021200
11,34003021300
12,34003021400
13,34003021500
14,34003021600
15,34003023100
16,34003023200
17,34003023402
18,34003023500
19,34003023501
20,34003023502
21,34003023600
22,34003023601
23,34003023602
24,34003029100
25,34003030100
26,34003030200
27,34003030300
28,34003030400
29,34003031200
30,34003036200
31,34003038100
32,34003046100
33,34003046300
34,34003054200
35,34003057101
36,34003057200
37,34013000100
38,34013000200
39,34013000300
40,34013000400
41,34013000500
42,34013000600
43,34013000700
44,34013000800
45,34013000900
46,34013001000
47,34013001100
48,34013001300
49,34013001400
50,34013001500
51,34013001600
52,34013001700
53,34013001800
54,34013001900
55,34013002000
56,34013002100
57,34013002201
58,34013002202
59,34013002300
60,34013002400
61,34013002500
62,34013002600
63,34013002700
64,34013002800
65,34013002900
66,34013003000
67,34013003100
68,34013003400
69,34013003500
70,34013003700
71,34013003800
72,34013003900
73,34013004100
74,34013004200
75,34013004300
76,34013004400
77,34013004500
78,34013004600
79,34013004700
80,34013004801
81,34013004802
82,34013004900
83,34013005000
84,34013005100
85,34013005200
86,34013005300
87,34013005400
88,34013005700
89,34013005800
90,34013006200
91,34013006400
92,34013006600
93,34013006700
94,34013006800
95,34013006900
96,34013007000
97,34013007100
98,34013007200
99,34013007300
100,34013007400
101,34013007501
102,34013007502
103,34013007600
104,34013007700
105,34013007800
106,34013007900
107,34013008000
108,34013008100
109,34013008200
110,34013008500
111,34013008700
112,34013008800
113,34013008900
114,34013009000
115,34013009100
116,34013009200
117,34013009300
118,34013009400
119,34013009500
120,34013009600
121,34013009700
122,34013009900
123,34013010000
124,34013010100
125,34013010200
126,34013010300
127,34013010400
128,34013010500
129,34013010600
130,34013010700
131,34013010800
132,34013010900
133,34013011100
134,34013011200
135,34013011300
136,34013011400
137,34013011500
138,34013011600
139,34013011700
140,34013011800
141,34013011900
142,34013012000
143,34013012100
144,34013012200
145,34013012300
146,34013012400
147,34013012500
148,34013012600
149,34013012700
150,34013012800
151,34013012900
152,34013013000
153,34013013100
154,34013013200
155,34013013300
156,34013013700
157,34013014300
158,34013014400
159,34013014500
160,34013014700
161,34013015300
162,34013015400
163,34013015600
164,34013015700
165,34013015800
166,34013015900
167,34013016700
168,34013017100
169,34013017600
170,34013017700
171,34013017800
172,34013018100
173,34013018200
174,34013018300
175,34013018400
176,34013018600
177,34013018700
178,34013018800
179,34013018900
180,34013022700
181,34013022800
182,34013022900
183,34013023000
184,34013023100
185,34013023200
186,34013980100
187,34013980200
188,34017000100
189,34017000200
190,34017000300
191,34017000400
192,34017000500
193,34017000600
194,34017000700
195,34017000800
196,34017000902
197,34017001000
198,34017001100
199,34017001202
200,34017001300
201,34017001400
202,34017001700
203,34017001701
204,34017001800
205,34017001900
206,34017002000
207,34017002100
208,34017002700
209,34017002800
210,34017002900
211,34017003000
212,34017003100
213,34017003300
214,34017004000
215,34017004101
216,34017004102
217,34017004200
218,34017004300
219,34017004400
220,34017004500
221,34017004600
222,34017004700
223,34017004800
224,34017004900
225,34017005000
226,34017005100
227,34017005200
228,34017005300
229,34017005500
230,34017005600
231,34017005801
232,34017005900
233,34017006000
234,34017006100
235,34017006200
236,34017006300
237,34017006700
238,34017006800
239,34017007100
240,34017007800
241,34017010100
242,34017010200
243,34017010300
244,34017010600
245,34017010700
246,34017010800
247,34017010900
248,34017011000
249,34017011100
250,34017011200
251,34017011300
252,34017011500
253,34017011600
254,34017012300
255,34017012600
256,34017012800
257,34017012900
258,34017013000
259,34017013100
260,34017013200
261,34017013300
262,34017013400
263,34017013500
264,34017013600
265,34017013700
266,34017013800
267,34017014000
268,34017014102
269,34017014200
270,34017014500
271,34017014501
272,34017014502
273,34017014600
274,34017014700
275,34017014800
276,34017014900
277,34017015000
278,34017015002
279,34017015100
280,34017015200
281,34017015202
282,34017015300
283,34017015500
284,34017015600
285,34017015700
286,34017015802
287,34017015900
288,34017016000
289,34017016100
290,34017016200
291,34017016300
292,34017016400
293,34017016500
294,34017016600
295,34017016700
296,34017016800
297,34017016900
298,34017017000
299,34017017100
300,34017017200
301,34017017300
302,34017017400
303,34017017500
304,34017017600
305,34017017700
306,34017017800
307,34017018000
308,34017032400
309,34019011400
310,34023000200
311,34023001200
312,34023001804
313,34023001806
314,34023002902
315,34023003204
316,34023003300
317,34023003500
318,34023003600
319,34023003800
320,34023004000
321,34023004200
322,34023004300
323,34023004400
324,34023004500
325,34023004600
326,34023004700
327,34023004800
328,34023004900
329,34023005000
330,34023005100
331,34023005200
332,34023005300
333,34023005500
334,34023005600
335,34023005601
336,34023005602
337,34023005700
338,34023005800
339,34023005900
340,34023006000
341,34023006002
342,34023006101
343,34023006207
344,34023006800
345,34023006900
346,34023007103
347,34023007600
348,34023007801
