Complaint Type,Complaint Category
Collection Truck Noise,Noise
General,Misc
Taxi Compliment,Misc
Drinking Water,Water
Drinking,Misdemeanor
Bike Rack Condition,Street Condition
GENERAL CONSTRUCTION,Construction
DPR Internal,Misc
GENERAL,Misc
Bus Stop Shelter Placement,Infrastructure
Bus Stop Shelter Complaint,Infrastructure
Bike/Roller/Skate Chronic,Misdemeanor
New Tree Request,Plants
Municipal Parking Facility,Parking
APPLIANCE,Infrastructure
Traffic/Illegal Parking,Parking
Illegal Parking,Parking
Illegal Fireworks,Misdemeanor
Noise - Helicopter,Noise
Discipline and Suspension,Social
Safety,Safety
Noise,Noise
Noise - Commercial,Noise
Building Condition,Building
Building/Use,Building
OUTSIDE BUILDING,Building
SAFETY,Safety
Trapping Pigeon,Animals
Electrical,Infrastructure
Animal Abuse,Animals
Request Xmas Tree Collection,Misc
Mold,Building
Missed Collection (All Materials),Waste
Investigations and Discipline (IAD),Misc
ELEVATOR,Building
VACANT APARTMENT,Building
Animal Facility - No Permit,Animals
Food Establishment,Business
Elevator,Building
Street Sign - Missing,Street Condition
Plant,Plants
Sidewalk Condition,Street Condition
Street Condition,Street Condition
Street Light Condition,Street Condition
Street Sign - Damaged,Street Condition
Street Sign - Dangling,Street Condition
Highway Sign - Missing,Street Condition
Unsanitary Pigeon Condition,Animals
Vacant Lot,Building
Building Marshals office,Building
UNSANITARY CONDITION,Hygiene
Taxpayer Advocate Inquiry,Misc
Noise - Street/Sidewalk,Noise
Highway Sign - Dangling,Street Condition
Unsanitary Condition,Hygiene
Highway Condition,Street Condition
Derelict Bicycle,Waste
Health,Health
Highway Sign - Damaged,Street Condition
Special Natural Area District (SNAD),Misc
OEM Disabled Vehicle,Misc
FATF,Misc
DOOR/WINDOW,Building
Taxi Report,Misc
SRDE,Misc
Sustainability Enforcement,Misc
Radioactive Material,Health
Request Large Bulky Item Collection,Request
Advocate-Commercial Exemptions,Misc
Air Quality,Health
Poison Ivy,Health
Root/Sewer/Sidewalk Condition,Street Condition
Blocked Driveway,Parking
Unsanitary Animal Pvt Property,Animals
Portable Toilet,Request
DOF Property - Payment Issue,Services
Noise - Residential,Noise
Sewer,Infrastructure
Homeless Encampment,Social
Dispatched Taxi Complaint,Misc
Hazardous Materials,Health
Water Quality,Water
Animal in a Park,Animals
Sweeping/Missed,Street Condition
AGENCY,Misc
Industrial Waste,Waste
Construction Safety Enforcement,Construction
Recycling Enforcement,Waste
Squeegee,Misdemeanor
Hazmat Storage/Use,Health
Taxi Complaint,Misc
Indoor Air Quality,Health
Broken Parking Meter,parking
Dead Tree,Plants
Window Guard,Building
Derelict Vehicles,Waste
Curb Condition,Street Condition
Interior Demo,Construction
Electronics Waste Appointment,Waste
Broken Muni Meter,Infrastructure
Vending,Business
Non-Emergency Police Matter,Services
Non-Residential Heat,Infrastructure
Facades,Building
Construction,Construction
CONSTRUCTION,Construction
Unlicensed Dog,Misdemeanor
SG-99,Misc
FCST,Misc
Public Payphone Complaint,Infrastructure
Boilers,Infrastructure
Teaching/Learning/Instruction,Services
Water System,Water
Maintenance or Facility,Infrastructure
Cooling Tower,Infrastructure
Noise - Park,Noise
Public Assembly,Misdemeanor
Registration and Transfers,Misc
Scaffold Safety,Construction
Noise Survey,Noise
Mobile Food Vendor,Business
Homeless Person Assistance,Social
For Hire Vehicle Report,Business
Smoking,Misdemeanor
Miscellaneous Categories,Misc
Found Property,Services
Fire Alarm - Modification,Fire
Quality of Life,Health
Noise - Vehicle,Noise
Forensic Engineering,Misc
BEST/Site Safety,Safety
Derelict Vehicle,Waste
Harboring Bees/Wasps,Animals
Advocate - Lien,Misc
PAINT - PLASTER,Building
Bridge Condition,Street Condition
Traffic,Traffic
PAINT/PLASTER,Building
Senior Center Complaint,Services
Standing Water,Water
HEAT/HOT WATER,Water
LEAD,Health
Rangehood,Business
Lead,Health
Borough Office,Services
Fire Alarm - New System,Fire
Executive Inspections,Services
Standpipe - Mechanical,Infrastructure
Lifeguard,Safety
FLOORING/STAIRS,Building
Snow,Street Condition
Special Projects Inspection Team (SPIT),Services
Cranes and Derricks,Construction
Violation of Park Rules,Misdemeanor
Overflowing Recycling Baskets,Waste
City Vehicle Placard Complaint,Parking
Noise - House of Worship,Noise
Pet Shop,Business
Legal Services Provider Complaint,Business
Dead/Dying Tree,Plants
Consumer Complaint,Business
Unsanitary Animal Facility,Cleanliness
Public Toilet,Infrastructure
Special Enforcement,Misc
Asbestos,Building
Indoor Sewage,Water
No Child Left Behind,Social
Tanning,Misdemeanor
Disorderly Youth,Misdemeanor
For Hire Vehicle Complaint,Business
Summer Camp,Social
Damaged Tree,Plants
Beach/Pool/Sauna Complaint,Infrastructure
Sweeping/Inadequate,Street Condition
LinkNYC,Infrastructure
Benefit Card Replacement,Social
Sweeping/Missed-Inadequate,Street Condition
Day Care,Social
Sprinkler - Mechanical,Infrastructure
DRIE,Social
Overflowing Litter Baskets,Waste
Advocate - Other,Services
Advocate-Business Tax,Services
Foam Ban Enforcement,Business
Urinating in Public,Misdemeanor
HEATING,Infrastructure
Other Enforcement,Services
STRUCTURAL,Misc
Transportation Provider Complaint,Business
Mosquitoes,Animals
Parent Leadership,Social
Sanitation Condition,Hygiene
Overgrown Tree/Branches,Plants
DOF Property - Reduction Issue,Services
Adopt-A-Basket,Waste
Drug Activity,Misdemeanor
Electronics Waste,Waste
Lost Property,Services
Water Maintenance,Water
School Maintenance,Building
Calorie Labeling,Business
Water Conservation,Water
WATER LEAK,Building
Bottled Water,Business
ATF,Misc
Traffic Signal Condition,Street Condition
Special Operations,Misc
Food Poisoning,Business
Illegal Animal Sold,Animals
Stalled Sites,Construction
Advocate-Personal Exemptions,Services
Dirty Conditions,Street Condition
Graffiti,Misdemeanor
Panhandling,Misdemeanor
Tattooing,Misdemeanor
Posting Advertisement,Misdemeanor
Rodent,Hygiene
Injured Wildlife,Animals
ELECTRIC,Infrastructure
Illegal Tree Damage,Plants
X-Ray Machine/Equipment,Misc
PLUMBING,Plumbing
Unleashed Dog,Misdemeanor
NONCONST,Misc
Fire Alarm - Reinspection,Fire
Litter Basket / Request,Waste
Illegal Animal Kept as Pet,Animals
General Construction/Plumbing,Construction
Plumbing,Plumbing
ZTESTINT,Misc
Trans Fat,Business
Emergency Response Team (ERT),Services
