,0
36019101100,12901
36021000402,12156
36023970700,13045
36081046200,11432
36081048100,11373
36081049600,11423
36103158804,11742
36103159508,11951
36103190800,11946
36103990100,11937
36105950200,12736
36081050202,11423
36107020500,13827
36109000100,14853
36109000700,14853
36007013303,13760
36009940200,14727
36009961500,14706
36011041600,13021
36013035600,14048
36005040400,10466
36005040800,10470
36005041800,10470
36005042901,10467
36005045800,10466
36007000700,13903
36029007700,14150
36029009109,14226
36029009401,14226
36047020600,11228
36047021900,11238
36047022900,11238
36047025100,11216
36047026200,11204
36047027600,11228
36019101000,12901
36029010201,14215
36029011300,14220
36119013301,10920
36119014810,10535
36119982000,10510
36121971000,14134
36081037700,11369
36081040700,11369
36081042600,11433
36081043702,11368
36081044601,11435
36047084000,11203
36047086800,11203
36047089800,11212
36047093000,11203
36047094600,11203
36047098400,11236
36047100400,11236
36047100600,11236
36047101600,11236
36103147803,11716
36103158108,11720
36103158309,11727
36103158408,11778
36061020101,10027
36061020701,10027
36061022200,10027
36061022600,10030
36081070300,11374
36081071305,11375
36001014001,12205
36001014503,12085
36005001600,10473
36005002500,10454
36005003800,10473
36005004600,10473
36005007100,10451
36005011502,10459
36081016300,11103
36081017400,11420
36081018502,11104
36081022001,11415
36081023500,11104
36081026300,11377
36081027600,11433
36067010322,13039
36067011102,13090
36067012500,13031
36067014000,13290
36067016200,13120
36069050201,14425
36069051600,14456
36071001500,10924
36071012602,12553
36071013700,10996
36081071900,11368
36081072900,11375
36081078800,11436
36081080301,11355
36081085500,11354
36081092200,11694
36047036501,11233
36047037900,11233
36047039400,11223
36047040700,11233
36047042100,11221
36047043600,11204
36081028900,11372
36081032900,11370
36047107800,11239
36047112600,11207
36047116400,11208
36047117602,11385
36047990100,11235
36059407900,11553
36059409400,11756
36053030900,13346
36055001900,14615
36055002700,14608
36067002700,13204
36067004200,13202
36067004900,13207
36067005300,13202
36067006102,13205
36081155102,11426
36081157902,11426
36005025000,10462
36005026602,10461
36005029301,10463
36005031900,10705
36071014201,10950
36081162100,11427
36083052403,12144
36085003300,10304
36085007700,10301
36059522700,11783
36061000600,10002
36061001600,10002
36061003100,10007
36061004700,10013
36081095400,11692
36081099704,11360
36055004100,14613
36097950400,14891
36101960700,14807
36101961200,14809
36101962600,14870
36101962700,14830
36061012500,10018
36061014000,10021
36061014601,10028
36061015400,10028
36061016400,10029
36061016900,10023
36061018900,10025
36119008902,10603
36119010803,10607
36119012900,10549
36055004602,14613
36055006300,14619
36055007600,14610
36055010602,14621
36055011302,14622
36055012700,14607
36061006600,10016
36061007700,10014
36061008300,10014
36061008700,10011
36061009000,10017
36061010900,10119
36061011900,10018
36103111001,11743
36103111703,11731
36061023900,10039
36061026500,10032
36061027700,10034
36061029100,10034
36061030300,10034
36063020400,14301
36063022902,14304
36063023405,14094
36085012806,10306
36085017008,10312
36005036901,10457
36005038800,10467
36005038900,10458
36005039902,10458
36081052100,11378
36081053601,11429
36081055400,11427
36081059200,11429
36075020901,13135
36075021601,13126
36087011603,7495
36087012600,7645
36091060102,12803
36091061100,12866
36091062300,12118
36093020102,12308
36093021600,12307
36093032601,12306
36005014701,10456
36005014900,10456
36005017100,10453
36005017901,10452
36005018302,10451
36005019500,10452
36005021301,10452
36005022101,10452
36005022703,10453
36005023800,10460
36117020102,14519
36013037100,14710
36015000300,14905
36015010400,14903
36017970400,13815
36081111300,11361
36081118500,11358
36081120300,11355
36081129102,11427
36081139900,11364
36081147100,11361
36047028502,11206
36047029000,11214
36047029100,11221
36047030200,11214
36059411302,11516
36059413300,11572
36059414202,11575
36059414501,11510
36059415000,11575
36059416401,11559
36059518100,11732
36059519100,11801
36111951100,12433
36111955400,12589
36113070200,12801
36005033600,10467
36005036100,10460
36103112212,11746
36103122706,11729
36103123402,11704
36047032100,11225
36047033100,11213
36047035300,11213
36047044600,11230
36047045400,11230
36047049300,11211
36047049800,11218
36047050202,11218
36043010400,13357
36043011100,13350
36045062100,13601
36047000301,11201
36081061000,11411
36081062300,11385
36081063500,11385
36081065703,11379
36081068200,11413
36047002901,11201
36047005602,11209
36047006200,11209
36047007100,11217
36047007600,11220
36047008200,11220
36103146611,11742
36063024600,14120
36065021101,13501
36065021900,13440
36065024500,13028
36065026500,13417
36067000700,13208
36117021800,14433
36119000203,10705
36119000803,10701
36119001505,10470
36119002106,10710
36119002404,10704
36119003000,10470
36119003500,10704
36119004500,10552
36119005800,10801
36119007800,10580
36001000401,12084
36001000600,12206
36001001500,12209
36047010200,11220
36047012200,11220
36047013900,11215
36047016300,11217
36047016800,11214
36047018400,11228
36047019800,11228
36055013101,14623
36055013604,14612
36055014203,14606
36055015301,14420
36057070300,12010
36103135208,11725
36103145704,11788
36103146002,11717
36057070900,12010
36059302700,11004
36103146705,11703
36103147401,11751
